epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,357.618,1.17029,3.60932,1.39686,0.34003,0.37628,0.33878,0.22098,1.16602,2.81423,1.49586,0.000123069,0.000123069,0.000123069
2,705.723,1.2051,2.60162,1.42595,0.47136,0.645,0.58355,0.3765,1.16265,2.06747,1.48646,0.000240304,0.000240304,0.000240304
3,1052.45,1.21451,2.2383,1.4357,0.64611,0.68655,0.66014,0.44113,1.15053,1.86139,1.43469,0.000351433,0.000351433,0.000351433
4,1398.57,1.18963,2.00922,1.39466,0.58521,0.7607,0.75799,0.5012,1.16147,1.67403,1.4654,0.000342528,0.000342528,0.000342528
5,1744.66,1.15803,1.85104,1.37374,0.70151,0.80492,0.82268,0.55402,1.11192,1.5233,1.3981,0.00033337,0.00033337,0.00033337
6,2091.24,1.13722,1.73858,1.34855,0.75651,0.77409,0.84836,0.5734,1.1025,1.45518,1.38474,0.000324212,0.000324212,0.000324212
7,2437.09,1.1268,1.64151,1.33875,0.78455,0.81197,0.88501,0.60072,1.10206,1.42298,1.37559,0.000315055,0.000315055,0.000315055
8,2783.71,1.10972,1.58041,1.32742,0.79902,0.81824,0.87321,0.59048,1.09006,1.27597,1.35464,0.000305897,0.000305897,0.000305897
9,3129.5,1.10569,1.50636,1.32203,0.83028,0.87025,0.91637,0.63823,1.06955,1.23845,1.34123,0.00029674,0.00029674,0.00029674
10,3475.53,1.08301,1.45176,1.31102,0.83115,0.83923,0.90713,0.61358,1.09608,1.24392,1.36373,0.000287582,0.000287582,0.000287582
11,3821.1,1.0902,1.39199,1.30634,0.90973,0.85959,0.92848,0.64601,1.05658,1.09666,1.33767,0.000278425,0.000278425,0.000278425
12,4167.3,1.08649,1.33342,1.30086,0.84744,0.89536,0.92864,0.64086,1.04423,1.12207,1.32597,0.000269268,0.000269268,0.000269268
13,4513.68,1.06586,1.31964,1.28684,0.90393,0.8922,0.93775,0.66161,1.0434,1.0165,1.33133,0.00026011,0.00026011,0.00026011
14,4859.69,1.05093,1.23162,1.27191,0.86594,0.88711,0.9328,0.65901,1.0519,1.02285,1.32637,0.000250952,0.000250952,0.000250952
15,5212.32,1.04218,1.22395,1.27298,0.8749,0.90791,0.94103,0.65723,1.04518,0.95403,1.32773,0.000241795,0.000241795,0.000241795
16,5559.62,1.03874,1.20817,1.26625,0.9032,0.90489,0.95123,0.67721,1.0517,0.91545,1.3084,0.000232638,0.000232638,0.000232638
17,5925.49,1.02979,1.18522,1.26192,0.90876,0.92182,0.94954,0.67382,1.05013,0.92876,1.29396,0.00022348,0.00022348,0.00022348
18,6300.14,1.02111,1.13015,1.25032,0.92941,0.9306,0.95972,0.68676,1.0382,0.87351,1.29383,0.000214322,0.000214322,0.000214322
19,6686.85,1.01231,1.10307,1.25299,0.90393,0.91081,0.9582,0.6793,1.06727,0.85791,1.31147,0.000205165,0.000205165,0.000205165
20,7067.9,1.01741,1.08366,1.24553,0.91812,0.91414,0.95178,0.67198,1.05951,0.8679,1.31879,0.000196008,0.000196008,0.000196008
21,7419.11,0.99117,1.05634,1.2342,0.9105,0.92381,0.95249,0.69098,1.01769,0.8364,1.27003,0.00018685,0.00018685,0.00018685
22,7767,0.99482,1.05666,1.2371,0.89942,0.90679,0.94901,0.66933,1.05248,0.85491,1.30096,0.000177692,0.000177692,0.000177692
23,8115.73,1.00088,1.02861,1.23742,0.89822,0.91622,0.94612,0.67164,1.03821,0.83099,1.28208,0.000168535,0.000168535,0.000168535
24,8464.35,0.9906,1.01333,1.23227,0.91633,0.93352,0.9609,0.69545,1.02578,0.79985,1.28587,0.000159377,0.000159377,0.000159377
25,8812.28,0.97546,0.98775,1.22231,0.94039,0.92088,0.96151,0.68771,1.04772,0.77701,1.3064,0.00015022,0.00015022,0.00015022
26,9160.15,0.98598,0.9849,1.22325,0.93183,0.92647,0.96636,0.6921,1.03579,0.77978,1.29031,0.000141062,0.000141062,0.000141062
27,9508.2,0.96397,0.94604,1.21032,0.93745,0.94246,0.96029,0.69223,1.02682,0.75997,1.27412,0.000131905,0.000131905,0.000131905
28,9855.27,0.95317,0.94567,1.20327,0.92078,0.94462,0.96364,0.69627,1.0343,0.73493,1.28627,0.000122747,0.000122747,0.000122747
29,10203.2,0.94892,0.91309,1.20603,0.92447,0.94736,0.96425,0.69833,1.02444,0.72251,1.2654,0.00011359,0.00011359,0.00011359
30,10551.2,0.94181,0.91273,1.20529,0.93802,0.95278,0.96698,0.70121,1.00863,0.70311,1.2581,0.000104433,0.000104433,0.000104433
31,10896,0.85486,0.78239,1.17761,0.92988,0.93681,0.96471,0.698,1.01855,0.75831,1.26765,9.5275e-05,9.5275e-05,9.5275e-05
32,11240.4,0.83918,0.72576,1.18576,0.93259,0.95331,0.96825,0.70128,1.01352,0.72925,1.26528,8.61175e-05,8.61175e-05,8.61175e-05
33,11585.5,0.82359,0.70065,1.16946,0.93372,0.94955,0.96351,0.69178,1.02973,0.73788,1.28314,7.696e-05,7.696e-05,7.696e-05
34,11930.6,0.82362,0.68682,1.1595,0.9461,0.94232,0.96503,0.69983,1.0292,0.71526,1.27784,6.78025e-05,6.78025e-05,6.78025e-05
35,12275,0.81016,0.6674,1.15785,0.92131,0.94677,0.9619,0.70145,1.00917,0.70317,1.26386,5.8645e-05,5.8645e-05,5.8645e-05
36,12620,0.79571,0.65753,1.14288,0.93351,0.95441,0.96552,0.70901,1.0137,0.68075,1.27194,4.94875e-05,4.94875e-05,4.94875e-05
37,12965.2,0.79722,0.64933,1.13421,0.93643,0.95083,0.97027,0.7096,1.01056,0.67086,1.27104,4.033e-05,4.033e-05,4.033e-05
38,13310,0.77946,0.63248,1.13506,0.93591,0.95191,0.96946,0.70761,1.00662,0.66775,1.26467,3.11725e-05,3.11725e-05,3.11725e-05
39,13653.9,0.78062,0.61875,1.13823,0.93858,0.95166,0.9664,0.70659,1.00657,0.66576,1.26668,2.2015e-05,2.2015e-05,2.2015e-05
40,13998.6,0.77932,0.61394,1.13428,0.93337,0.95677,0.96452,0.70926,1.00442,0.65684,1.26609,1.28575e-05,1.28575e-05,1.28575e-05
